customer_id,age_customer,gender_customer,area_customer,last_active_customer,account_status_customer,latitude_customer,longitude_customer,address_text_customer,location_type_customer,floor_number_customer,distance_radius_km_customer,preferred_day_customer,preferred_time_slot_customer,availability_start_time_customer,availability_end_time_customer,urgency_level_customer,time_sensitivity_level_customer,preferred_service_customer,service_category_customer,custom_task_description_customer,experience_expectation_customer,language_preference_customer,budget_min_customer,budget_max_customer,discount_sensitive_customer,weather_sensitive_customer,peak_hour_flag_customer,location_sensitivity_customer,profile_image_path_customer,voice_note_path_customer,voice_note_duration_sec_customer,customer_rating_given_to_worker average,customer_rating_given_to_worker,total_bookings_customer,last_booking_date_customer,cancellation_customer,cancellation_average_customer,worker_id,full_name,phone_number,email,password_hash,account_status,signup_date,last_login,worker_latitude,worker_longitude,service_city,service_area,service_radius_km,primary_skill,secondary_skills,service_category,skill_level,years_of_experience,licensed_worker,available_days,available_start_time,available_end_time,emergency_available,peak_hour_available,base_service_price,visit_charges,price_negotiable,average_price_range,cnic_number,cnic_front_image_path,cnic_back_image_path,certificate_uploaded,certificate_type,background_verification_status,trust_score,total_jobs_completed,total_jobs_cancelled,late_arrival_count,warning_count,blocked_status,working_rating_given_to_customer_avg,working_rating_given_to_customer,total_reviews,negative_review_count,wallet_balance,platform_commission_rate,total_earnings,pending_payout,last_wallet_deduction,ai_recommendation_score,high_demand_skills,earning_potential_score,profile_image_path,intro_video_path,work_sample_images_path,chat_enabled,media_upload_enabled,data_source,record_last_updated
CUST-1001,35,Male,Allama Iqbal Town,18/07/2025,Active,31.485571,74.308784,"House 347, Block J, Allama Iqbal Town, Lahore",Home,0,2.8,Thursday,Any,15:00,21:00,Low,Low,Cleaner,Cleaning,Scheduled service for weekend,No Preference,English,1000,9000,No,Yes,Yes,Low,profiles/cust-1001.jpg,voice_notes/cust-1001_note.mp3,48,1.4,2.5,46,23/11/2025,8,0.17,WRK000001,Amjad Niazi,3214744854,amjad.niazi203@yahoo.com,14366fea099d01436807438660954463d532f41c75cf0ab1e98a7b54f7cd8635,active,03/08/2023,22/09/2023 5:42,31.637632,74.302065,Lahore,Wapda Town,14,Panel Installation,Ceiling Work|Shelf Fitting|Furniture Making,Electrician,Expert,1,No,"Saturday,Sunday",9:30:00,18:15:00,Yes,Yes,1100,150,No,PKR 1100-2600,32541-5437923-1,documents/cnic/front/WRK000001_front.jpg,documents/cnic/back/WRK000001_back.jpg,Yes,None,verified,9.8,387,5,35,2,No,4.6,3.7,301,36,11394.91,12,1056857.75,14927.26,26/10/2024 9:56,0.991,Yes,0.907,images/workers/profiles/WRK000001.jpg,videos/workers/intro/WRK000001.mp4,images/workers/samples/WRK000001_1.jpg|images/workers/samples/WRK000001_2.jpg|images/workers/samples/WRK000001_3.jpg,No,Yes,worker_onboarding_portal,05/02/2025 18:13
CUST-1002,52,Male,DHA Phase 8,18/08/2025,Active,31.45257,74.418057,"House 283, Street 19, DHA Phase 8, Lahore",Office,0,14.4,Monday,Afternoon,10:00,18:00,Low,Medium,Cleaner,Cleaning,"Just servicing, no parts replacement expected",Intermediate,English,2100,10300,No,No,No,High,profiles/cust-1002.jpg,voice_notes/cust-1002_note.mp3,86,1.7,3.9,21,24/10/2025,6,0.29,WRK000002,Naeem Chaudhry,3023871230,naeem.chaudhry565@hotmail.com,236f5cbd494f93d287954046ac57120699e6f317d5c3818e622dc8f29b842b26,active,18/04/2022,06/01/2025 21:41,31.490695,74.281938,Lahore,Shahdara,8,Bathroom Fitting,Door Installation|Window Cleaning|Wood Polish,Plumber,Intermediate,19,No,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",7:45:00,19:45:00,No,Yes,4000,500,No,PKR 4000-6000,48242-7700828-6,documents/cnic/front/WRK000002_front.jpg,documents/cnic/back/WRK000002_back.jpg,No,NAVTTC Certificate,verified,3.6,48,1,1,5,No,2.9,3.9,41,4,23402.49,10,577150.97,36724.09,14/05/2023 6:09,0.983,No,0.308,images/workers/profiles/WRK000002.jpg,videos/workers/intro/WRK000002.mp4,images/workers/samples/WRK000002_1.jpg|images/workers/samples/WRK000002_2.jpg|images/workers/samples/WRK000002_3.jpg,Yes,Yes,worker_onboarding_portal,08/01/2025 9:33
CUST-1003,62,Female,Cavalry Ground,03/02/2026,Active,31.510514,74.372189,"House 394, Block A, Cavalry Ground, Lahore",Apartment,7,6.1,Thursday,Any,11:00,18:30,Medium,Low,Cleaner,Cleaning,Looking for a thorough deep clean,Expert,Urdu,1700,19300,Yes,No,No,Medium,profiles/cust-1003.jpg,voice_notes/cust-1003_note.mp3,51,1.9,5,66,16/10/2025,2,0.03,WRK000003,Zain Elahi,3128612220,zain.elahi997@gmail.com,88544a9d9475948e541b577ba55a960860a49b188663fd88195bae6b935f2eca,inactive,26/04/2024,17/07/2024 23:07,31.575114,74.427546,Lahore,Cavalry Ground,8,Tap Replacement,Wiring|Post-Construction|Cabinet Work,Plumber,Master,17,No,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",9:00:00,16:30:00,No,Yes,2400,250,Yes,PKR 2400-2900,15613-9153566-2,documents/cnic/front/WRK000003_front.jpg,documents/cnic/back/WRK000003_back.jpg,Yes,None,verified,3.9,675,60,21,2,No,3.8,3.1,512,54,34493.38,12,1393370.24,108646.47,01/11/2025 1:49,0.587,No,0.755,images/workers/profiles/WRK000003.jpg,videos/workers/intro/WRK000003.mp4,images/workers/samples/WRK000003_1.jpg|images/workers/samples/WRK000003_2.jpg|images/workers/samples/WRK000003_3.jpg,Yes,No,worker_onboarding_portal,13/01/2025 21:51
CUST-1004,27,Male,Krishan Nagar,25/06/2025,Active,31.54956,74.347888,"House 306, Block G, Krishan Nagar, Lahore",Office,0,19.5,Monday,Morning,16:30,23:30,High,Medium,Cleaner,Cleaning,"Need urgent repair, system not working at all",Expert,Urdu,2600,7700,No,Yes,No,Medium,profiles/cust-1004.jpg,voice_notes/cust-1004_note.mp3,24,2.5,1.6,100,07/10/2025,0,0,WRK000004,Mushtaq Laghari,3211120642,mushtaq.laghari41@hotmail.com,4be7d68797061e8a59c9d90deb5d470cb2f6db73218b2e12258e86a2df1befe0,active,07/04/2020,29/01/2023 4:51,31.47328,74.440725,Lahore,Valencia Town,7,Furniture Making,Meter Reading|Window Cleaning|Post-Construction,Carpenter,Expert,14,Yes,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:30:00,19:45:00,Yes,Yes,4800,600,Yes,PKR 4800-5300,13972-7754864-6,documents/cnic/front/WRK000004_front.jpg,documents/cnic/back/WRK000004_back.jpg,No,None,verified,4.3,549,57,8,3,No,3,3.1,400,15,27516.27,10,664696.12,58175.15,11/09/2020 18:27,0.791,No,0.31,images/workers/profiles/WRK000004.jpg,videos/workers/intro/WRK000004.mp4,images/workers/samples/WRK000004_1.jpg|images/workers/samples/WRK000004_2.jpg|images/workers/samples/WRK000004_3.jpg,Yes,Yes,worker_onboarding_portal,12/05/2024 3:00
CUST-1005,25,Female,Askari 11,05/05/2025,Active,31.50106,74.310307,"House 158, Block A, Askari 11, Lahore",Other,0,2.6,Any,Morning,14:00,17:30,Low,High,Cleaner,Cleaning,"Emergency situation, need immediate help",Intermediate,English,2200,14500,Yes,No,Yes,High,profiles/cust-1005.jpg,voice_notes/cust-1005_note.mp3,48,1.1,3.2,76,25/12/2025,0,0,WRK000005,Kaleem Butt,3127358113,kaleem.butt779@gmail.com,42901dc5951001ee02d05e19cc8026d8f1c51a2fa3d654db7bc1ee0be561247f,pending_verification,14/11/2023,02/08/2025 13:23,31.497681,74.376911,Lahore,New Garden Town,1,Door Installation,Meter Reading|Bathroom Fitting,Carpenter,Expert,18,Yes,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",6:00:00,20:45:00,No,Yes,1500,100,Yes,PKR 1500-2000,22178-2149597-2,documents/cnic/front/WRK000005_front.jpg,documents/cnic/back/WRK000005_back.jpg,No,None,verified,3.8,583,31,37,4,No,2.6,3.5,215,26,13038.28,20,847840.39,32619.21,16/03/2025 17:30,0.543,Yes,0.77,images/workers/profiles/WRK000005.jpg,videos/workers/intro/WRK000005.mp4,images/workers/samples/WRK000005_1.jpg|images/workers/samples/WRK000005_2.jpg|images/workers/samples/WRK000005_3.jpg,Yes,No,worker_onboarding_portal,26/10/2025 14:00
CUST-1006,21,Male,Bahria Town,14/03/2025,Active,31.358078,74.172503,"House 170, Block J, Bahria Town, Lahore",Office,0,11.2,Any,Afternoon,13:30,16:00,High,Medium,Cleaner,Cleaning,Require premium quality work,No Preference,Urdu,3000,7500,Yes,No,No,High,profiles/cust-1006.jpg,voice_notes/cust-1006_note.mp3,29,1.8,2.8,55,04/01/2026,8,0.15,WRK000006,Noman Tanveer,3024576135,noman.tanveer991@outlook.com,feb9278bd6726e1b4a7a4b49653105eb1326e8d1c9a3fa1afff1bb5c90f0ff92,pending_verification,01/08/2020,27/10/2023 22:58,31.503261,74.411442,Lahore,Samnabad,9,Boiler Repair,Office Cleaning|Carpet Cleaning|Door Installation,Plumber,Intermediate,5,Yes,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:30:00,18:15:00,No,Yes,4500,300,Yes,PKR 4500-6000,13329-2548511-7,documents/cnic/front/WRK000006_front.jpg,documents/cnic/back/WRK000006_back.jpg,Yes,None,verified,5.3,133,8,2,5,Yes,3.6,4.8,129,13,44155.32,20,14504.55,243.27,07/11/2021 19:44,0.727,Yes,0.708,images/workers/profiles/WRK000006.jpg,videos/workers/intro/WRK000006.mp4,images/workers/samples/WRK000006_1.jpg|images/workers/samples/WRK000006_2.jpg|images/workers/samples/WRK000006_3.jpg,Yes,Yes,worker_onboarding_portal,03/12/2020 16:13
CUST-1007,22,Female,Ichhra,12/02/2026,Suspended,31.534928,74.335695,"House 51, Street 4, Ichhra, Lahore",Other,0,18.6,Thursday,Afternoon,12:30,17:00,Low,Low,Carpenter,Carpentry,Multiple items need attention,Beginner,English,2600,28700,No,No,No,Low,profiles/cust-1007.jpg,voice_notes/cust-1007_note.mp3,105,3.2,3.9,20,02/01/2026,2,0.1,WRK000007,Owais Gillani,3212724590,owais.gillani696@gmail.com,b93b7081685bb3fbd1c047efe5548ad476985a0a42d86765475c1866105cc02e,pending_verification,05/01/2022,11/11/2022 19:21,31.471397,74.376428,Lahore,Walton Road,3,Floor Mopping,Door Installation|Wardrobe Making,Cleaner,Intermediate,23,Yes,"Monday,Tuesday,Wednesday,Thursday,Friday",9:15:00,17:45:00,No,Yes,1900,250,No,PKR 1900-2900,36113-6507321-5,documents/cnic/front/WRK000007_front.jpg,documents/cnic/back/WRK000007_back.jpg,No,None,not_submitted,5,656,65,51,5,No,5,4,470,42,8928.39,10,173012.63,16840.37,08/02/2026 18:17,0.99,Yes,0.718,images/workers/profiles/WRK000007.jpg,videos/workers/intro/WRK000007.mp4,images/workers/samples/WRK000007_1.jpg|images/workers/samples/WRK000007_2.jpg|images/workers/samples/WRK000007_3.jpg,Yes,Yes,worker_onboarding_portal,04/07/2022 4:00
CUST-1008,65,Male,Walton,24/05/2025,Active,31.502975,74.362018,"House 26, Block H, Walton, Lahore",Home,0,19.3,Tuesday,Afternoon,7:00,14:00,Medium,Low,Carpenter,Carpentry,Seasonal maintenance before summer,Beginner,Urdu,3600,21800,Yes,No,No,High,profiles/cust-1008.jpg,voice_notes/cust-1008_note.mp3,96,2.3,2.1,17,01/09/2025,5,0.29,WRK000008,Luqman Farooqi,3221744682,luqman.farooqi795@hotmail.com,1a5f00d62ddc84b13ed4307de98a588e6d735bce35612a118c7c784a57c42e03,active,30/07/2024,15/01/2026 9:50,31.594622,74.37983,Lahore,GT Road,13,Wardrobe Making,Solar Panel|Floor Mopping,Carpenter,Expert,22,Yes,"Monday,Tuesday,Thursday,Friday,Saturday",8:15:00,17:45:00,No,No,1600,550,No,PKR 1600-3600,45909-1006810-5,documents/cnic/front/WRK000008_front.jpg,documents/cnic/back/WRK000008_back.jpg,No,Diploma in Trade,failed,7.2,329,29,28,3,No,4.2,4.4,228,30,33192.69,12,988276.12,35124.1,23/11/2025 21:44,0.601,Yes,0.826,images/workers/profiles/WRK000008.jpg,videos/workers/intro/WRK000008.mp4,images/workers/samples/WRK000008_1.jpg|images/workers/samples/WRK000008_2.jpg|images/workers/samples/WRK000008_3.jpg,Yes,No,worker_onboarding_portal,06/02/2025 2:05
CUST-1009,22,Female,DHA Phase 1,07/10/2025,Active,31.474333,74.392975,"House 52, Block J, DHA Phase 1, Lahore",Home,0,7.6,Tuesday,Afternoon,11:30,14:30,Low,Low,Plumber,Plumbing,Inspection and report required first,Expert,Urdu,500,3600,Yes,Yes,No,Medium,profiles/cust-1009.jpg,voice_notes/cust-1009_note.mp3,82,1.8,2.4,88,10/09/2025,27,0.31,WRK000009,Naveed Ismail,3457953166,naveed.ismail639@gmail.com,c5b9ff0ceaf8b5509daee2311099646e0826726ab0fa4980e5e2b3f0afe80736,active,28/01/2022,14/09/2022 6:39,31.620905,74.435843,Lahore,Dharampura,1,Water Heater,Fan Installation|Ceiling Work,Plumber,Expert,2,No,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",9:15:00,19:30:00,No,Yes,4400,500,Yes,PKR 4400-6400,20430-8963715-8,documents/cnic/front/WRK000009_front.jpg,documents/cnic/back/WRK000009_back.jpg,No,NAVTTC Certificate,failed,4.9,796,66,62,5,No,3.1,3.9,688,9,44651.34,15,351740.37,14149.21,02/06/2022 4:57,0.483,Yes,0.786,images/workers/profiles/WRK000009.jpg,videos/workers/intro/WRK000009.mp4,images/workers/samples/WRK000009_1.jpg|images/workers/samples/WRK000009_2.jpg|images/workers/samples/WRK000009_3.jpg,Yes,Yes,worker_onboarding_portal,04/11/2023 21:59
CUST-1010,34,Female,DHA Phase 4,15/12/2025,Active,31.458477,74.398777,"House 142, Block A, DHA Phase 4, Lahore",Shop,0,6,Any,Any,12:00,14:00,Low,Medium,Carpenter,Carpentry,Inspection and report required first,Beginner,English,4700,19300,Yes,Yes,Yes,Low,profiles/cust-1010.jpg,voice_notes/cust-1010_note.mp3,106,4.9,1.2,46,28/12/2025,7,0.15,WRK000010,Muhammad Ali,3007381734,muhammad.ali461@yahoo.com,1fbb7fdae907166b3dcf99b2071d11c7a0a10f9535b7bf031d19f703f7331f03,active,26/04/2023,05/02/2025 13:45,31.607356,74.350223,Lahore,Samnabad,7,Septic Tank,Generator,Plumber,Beginner,11,No,"Monday,Tuesday,Thursday,Friday,Saturday",7:45:00,17:00:00,Yes,No,4700,100,Yes,PKR 4700-6700,18893-8746014-3,documents/cnic/front/WRK000010_front.jpg,documents/cnic/back/WRK000010_back.jpg,No,Diploma in Trade,verified,6.2,345,48,24,2,No,4.4,4.6,315,26,37451.21,15,1252366.37,65533.35,16/07/2023 13:24,1,No,0.755,images/workers/profiles/WRK000010.jpg,videos/workers/intro/WRK000010.mp4,images/workers/samples/WRK000010_1.jpg|images/workers/samples/WRK000010_2.jpg|images/workers/samples/WRK000010_3.jpg,No,Yes,worker_onboarding_portal,01/03/2024 8:13
